Company,Industry,Key_Strategies,Key_Points,Pain_Points,Hooks,CTA,Sentiment,Ads_Type,Ad_Link,YouTube_Link
Metro Cash & Carry,Grocery,Bulk purchasing for businesses,Wholesale grocery pricing,Requires membership, Big savings for businesses & retailers!”,Sign Up Now,Cost-Saving,Email Ad,https://www.metro.co.in,https://www.youtube.com/watch?v=XXXXX
Foodhall,Grocery,"Luxury supermarket, premium food products",Curated selection of gourmet food,"Expensive, niche market"," A world of flavors, delivered to your doorstep!”",Shop Now,Luxury,Display Ad,https://www.foodhallonline.com,https://www.youtube.com/watch?v=XXXXX
Reliance Fresh,Grocery,"Discount-based pricing, fresh produce",Competitive grocery pricing,Limited online presence," Fresh, affordable, and reliable groceries!”",Visit Store,Affordability,Retail Ad,https://www.relianceretail.com/reliance-fresh.html,https://www.youtube.com/watch?v=XXXXX
Flipkart Supermart,Grocery,E-commerce grocery delivery,Great deals and discounts,Delivery delays in some areas, Stock up & save with Flipkart Supermart!”,Order Now,Affordability,Video Ad,https://www.flipkart.com/grocery-supermart-store,https://www.youtube.com/watch?v=XXXXX
Grofers (Now Blinkit),Grocery,"Quick commerce, fast grocery delivery",Discounts and offers,Service limited to metro cities, Groceries in a blink!”,Start Shopping,Urgency,Video Ad,https://www.blinkit.com,https://www.youtube.com/watch?v=XXXXX
Big Bazaar,Grocery,"Hypermarket, retail grocery chain",Value-for-money grocery shopping,Limited online presence, India’s favorite supermarket now online!”,Shop Now,Trust,Retail Ad,https://www.bigbazaar.com,https://www.youtube.com/watch?v=XXXXX
Star Bazaar,Grocery,Affordable groceries & fresh produce,Tata brand assurance,Fewer store locations, Best quality at best prices!”,Visit Now,Value,Retail Ad,https://www.starbazaarindia.com,https://www.youtube.com/watch?v=XXXXX
Ninjacart,Grocery,"Farm-to-business model, B2B grocery",Direct from farmers to retailers,Not for end consumers," Connecting farmers to businesses, seamlessly!”",Sign Up Now,Business-Oriented,B2B Ad,https://www.ninjacart.com,https://www.youtube.com/watch?v=XXXXX
BigBasket,Online Grocery Retail,"Subscription model, Private labels","Bulk discounts, Wide selection",Competition from quick commerce,Stock up with BigBasket!,Subscribe & Save today,Mixed,"Digital, TV",https://www.bigbasket.com/ads,https://www.youtube.com/watch?v=example
Licious,Online Meat Delivery,"Premium quality, Fresh meat","Quality assurance, Farm-to-table",Pricing concerns,"Freshest meat, delivered!",Order now for fresh meat,Positive,"Online, Digital",https://www.licious.in/ads,https://www.youtube.com/watch?v=example
Kisan Konnect,Organic & Fresh Produce,Farm-to-consumer model,"Healthy produce, Fair pricing",Scalability issues,"Farm-fresh, directly to you!",Try organic today!,Positive,"Social Media, Digital",https://www.kisankonnect.com/ads,https://www.youtube.com/watch?v=example
DMart,Supermarket Chain,EDLP (Everyday Low Pricing),"Discounted pricing, In-store experience",Limited online presence,Save more at DMart!,Visit your nearest DMart today,Positive,"Print, TV, Digital",https://www.dmartindia.com/ads,https://www.youtube.com/watch?v=example
JioMart,E-commerce Grocery,"Pan-India delivery, Competitive pricing","Reliability, Affordable",Technical issues,"Best prices, best groceries!",Shop now on JioMart,Mixed,"Online, Digital",https://www.jiomart.com/ads,https://www.youtube.com/watch?v=example
EatClub,Subscription-Based Meals,"Cloud kitchen model, Affordable","Tasty, Affordable meals",Saturation in market,Never cook again!,Subscribe to EatClub,Positive,"Social Media, Digital",https://www.eatclub.com/ads,https://www.youtube.com/watch?v=example
Swiggy Instamart,Instant Grocery Delivery,Leverage existing Swiggy network,"Familiar brand, Fast service",Availability issues,Groceries at your fingertips,Shop now on Swiggy Instamart,Positive,"Digital, App-based",https://www.swiggy.com/instamart,https://www.youtube.com/watch?v=example
Nike,Clothing & Footwear,"Athleisure, brand endorsements",High-performance sportswear,Expensive pricing, Just Do It”,Shop Now,Motivational,Video Ad,https://www.nike.com,https://www.youtube.com/watch?v=XXXXX
Adidas,Clothing & Footwear,"Sustainability, limited-edition releases",Eco-friendly apparel,High price points, Impossible is Nothing”,Explore Now,Inspirational,Social Media Ad,https://www.adidas.com,https://www.youtube.com/watch?v=XXXXX
H&M,Fast Fashion,"Affordable fashion, sustainability initiatives",Trendy & budget-friendly clothing,Fast fashion criticism, Style for Every Occasion”,Shop the Trend,Trendy,Display Ad,https://www.hm.com,https://www.youtube.com/watch?v=XXXXX
Zara,Fast Fashion,"Quick inventory turnover, latest trends",High-fashion looks at mid-range prices,Limited stock availability, Wear the Future”,Shop Now,Trendy,Video Ad,https://www.zara.com,https://www.youtube.com/watch?v=XXXXX
Levi's,Denim & Casual Wear,"Heritage branding, sustainability",Durable & classic jeans,Premium pricing, Quality Never Goes Out of Style”,Find Your Fit,Nostalgic,TV Ad,https://www.levi.com,https://www.youtube.com/watch?v=XXXXX
Uniqlo,Casual & Minimalist Fashion,"Affordable basics, technology-infused fabrics",Minimalist and functional designs,Limited seasonal collections, Simple Made Better”,Shop Now,Functional,Social Media Ad,https://www.uniqlo.com,https://www.youtube.com/watch?v=XXXXX
Gucci,Luxury Fashion,"Exclusive designs, celebrity endorsements",High-end luxury clothing,Very expensive, Redefining Fashion”,Discover Now,Luxury,Print Ad,https://www.gucci.com,https://www.youtube.com/watch?v=XXXXX
Louis Vuitton,Luxury Fashion,"Brand exclusivity, limited editions",Luxury appeal & exclusivity,Ultra-premium pricing, Timeless Elegance”,Shop Exclusive,Luxury,Video Ad,https://www.louisvuitton.com,https://www.youtube.com/watch?v=XXXXX
Puma,Sportswear & Fashion,"Performance wear, influencer collaborations",Sports-inspired streetwear,Strong competition, Forever Faster”,Shop Now,Energetic,Social Media Ad,https://www.puma.com,https://www.youtube.com/watch?v=XXXXX
Under Armour,Athletic Wear,"Innovative sports fabrics, athlete endorsements",High-performance sportswear,Premium pricing, Protect This House”,Train with Us,Motivational,Video Ad,https://www.underarmour.com,https://www.youtube.com/watch?v=XXXXX
Zudio,Fast Fashion,"Affordable pricing, trendy designs",Budget-friendly fashion for all,Limited online presence, Affordable Fashion for Everyone”,Shop Now,Budget-Friendly,Social Media Ad,https://www.zudio.com,https://www.youtube.com/watch?v=XXXXX
Freakins,Denim & Streetwear,"Bold designs, influencer marketing",Edgy and trendy denim fashion,Niche audience, Denim That Defines You”,Shop the Look,Trendy,Display Ad,https://www.freakins.com,https://www.youtube.com/watch?v=XXXXX
Snitch,Men's Fast Fashion,"Limited drops, stylish essentials",Trendy menswear at affordable prices,Limited inventory, Wear the Trend”,Shop Now,Trendy,Video Ad,https://www.snitch.co.in,https://www.youtube.com/watch?v=XXXXX
Crazy Monk,Casual & Funky Fashion,"Unique prints, youthful branding",Quirky and eye-catching styles,Smaller market reach," Stand Out, Stay Cool”",Explore Now,Playful,Social Media Ad,https://www.crazymonk.com,https://www.youtube.com/watch?v=XXXXX
Forever 21,Fast Fashion,"Youth-focused designs, frequent new arrivals",Trendy fashion at budget prices,Sustainability concerns," Trendy Looks, Timeless You”",Shop the Latest,Youthful,Display Ad,https://www.forever21.com,https://www.youtube.com/watch?v=XXXXX
Nike,Sportswear & Footwear,"Athlete endorsements, innovation",High-performance sports shoes,Expensive pricing, Just Do It”,Shop Now,Motivational,Video Ad,https://www.nike.com,https://www.youtube.com/watch?v=XXXXX
Adidas,Sportswear & Footwear,"Sustainability, limited editions",Eco-friendly & high-tech shoes,High price points, Impossible is Nothing”,Explore Now,Inspirational,Social Media Ad,https://www.adidas.com,https://www.youtube.com/watch?v=XXXXX
Puma,Sportswear & Fashion,"Athlete collaborations, street style",Sporty yet fashionable shoes,Strong competition, Forever Faster”,Shop Now,Energetic,Social Media Ad,https://www.puma.com,https://www.youtube.com/watch?v=XXXXX
Reebok,Athletic & Fitness Footwear,Performance-focused shoes,Durable & comfortable sports shoes,Less brand popularity, Be More Human”,Get Yours Now,Motivational,Video Ad,https://www.reebok.com,https://www.youtube.com/watch?v=XXXXX
Under Armour,Athletic Wear & Footwear,"Tech-infused, performance-driven",Advanced sports footwear,Premium pricing, Protect This House”,Shop Performance,Motivational,Video Ad,https://www.underarmour.com,https://www.youtube.com/watch?v=XXXXX
New Balance,Sports & Lifestyle Footwear,"Heritage branding, comfort-first approach",Classic sneaker styles,Limited streetwear appeal, Fearlessly Independent”,Find Your Fit,Classic,Social Media Ad,https://www.newbalance.com,https://www.youtube.com/watch?v=XXXXX
Skechers,Casual & Performance Footwear,Comfort-driven technology,Lightweight & ergonomic shoes,Less fashionable, Comfort That Performs”,Try Now,Comfort-Oriented,Video Ad,https://www.skechers.com,https://www.youtube.com/watch?v=XXXXX
ASICS,Sports & Running Footwear,Performance & injury-prevention focus,Top-rated running shoes,Niche audience," Sound Mind, Sound Body”",Get Yours Today,Performance,Social Media Ad,https://www.asics.com,https://www.youtube.com/watch?v=XXXXX
Vans,Skateboarding & Streetwear,"Youth culture, skater-friendly shoes",Trendy and comfortable,Not ideal for sports, Off The Wall”,Shop Now,Edgy,Video Ad,https://www.vans.com,https://www.youtube.com/watch?v=XXXXX
Converse,Casual & Streetwear,"Classic designs, nostalgia branding",Timeless sneaker styles,Limited sports performance, Wear the Legacy”,Discover Now,Nostalgic,Social Media Ad,https://www.converse.com,https://www.youtube.com/watch?v=XXXXX
Gold's Gym,Fitness & Gym,"Celebrity endorsements, strength training",High-quality gym facilities,Expensive memberships, Train Like a Legend”,Join Now,Motivational,Video Ad,https://www.goldsgym.com,https://www.youtube.com/watch?v=XXXXX
Planet Fitness,Fitness & Gym,"Affordable memberships, judgment-free zone",Budget-friendly gym access,Limited heavy-lifting equipment," No Judgments, Just Fitness”",Sign Up Today,Inclusive,Social Media Ad,https://www.planetfitness.com,https://www.youtube.com/watch?v=XXXXX
Anytime Fitness,Fitness & Gym,"24/7 access, global membership","Workout anytime, anywhere",Higher monthly cost," Your Gym, Your Schedule”",Start Your Journey,Convenient,Video Ad,https://www.anytimefitness.com,https://www.youtube.com/watch?v=XXXXX
Crunch Fitness,Fitness & Gym,"Fun-focused workouts, group classes",Affordable gym with diverse options,Limited locations," No Limits, Just Results”",Get Started,Energetic,Social Media Ad,https://www.crunch.com,https://www.youtube.com/watch?v=XXXXX
LA Fitness,Fitness & Gym,"Full-service gym, personal training",Spacious gyms with pools & courts,Crowded peak hours," Your Fitness, Your Way”",Explore Memberships,Flexible,Display Ad,https://www.lafitness.com,https://www.youtube.com/watch?v=XXXXX
Equinox,Luxury Fitness & Gym,"High-end amenities, personal coaching",Premium gym experience,Extremely high cost," It’s Not Fitness, It’s Life”",Become a Member,Luxury,Video Ad,https://www.equinox.com,https://www.youtube.com/watch?v=XXXXX
Orangetheory Fitness,Fitness & Gym,Science-backed HIIT workouts,High-energy group classes,Requires appointment booking, Heart Rate-Based Training for Maximum Results”,Book a Free Class,Motivational,Social Media Ad,https://www.orangetheory.com,https://www.youtube.com/watch?v=XXXXX
F45 Training,Functional Fitness,High-intensity 45-min group training,"Effective, community-based workouts",Expensive membership fees," Team Training, Life Changing”",Try a Free Class,Supportive,Video Ad,https://www.f45training.com,https://www.youtube.com/watch?v=XXXXX
CrossFit,Functional Fitness,Strength and endurance-based workouts,"Intense, community-driven training",Risk of injury if done incorrectly, Forging Elite Fitness”,Join the Movement,Competitive,Social Media Ad,https://www.crossfit.com,https://www.youtube.com/watch?v=XXXXX
Fit Body Boot Camp,Fitness & Gym,Fat-loss focused boot camps,"Fun, guided HIIT training",Limited equipment variety, Unstoppable You”,Get Started Today,Empowering,Display Ad,https://www.fitbodybootcamp.com,https://www.youtube.com/watch?v=XXXXX
McDonald's,Fast Food,"Affordable meals, strong branding",Quick service & variety,Health concerns, I'm Lovin' It”,Order Now,Happy,TV Ad,https://www.mcdonalds.com,https://www.youtube.com/watch?v=XXXXX
KFC,Fast Food,"Crispy chicken, secret recipe",Signature fried chicken,High calorie content, Finger Lickin’ Good”,Try Now,Craving,Social Media Ad,https://www.kfc.com,https://www.youtube.com/watch?v=XXXXX
Domino's,Fast Food,"Fast delivery, affordable pricing",Hot & fresh pizza at your doorstep,Limited healthy options, 30-Minute Delivery”,Order Your Pizza,Exciting,Video Ad,https://www.dominos.com,https://www.youtube.com/watch?v=XXXXX
Pizza Hut,Fast Food,"Cheese-filled crusts, family-friendly",Variety of pizzas & sides,Higher pricing than competitors, Make It Great”,Get Your Slice,Family-Oriented,Display Ad,https://www.pizzahut.com,https://www.youtube.com/watch?v=XXXXX
Burger King,Fast Food,"Flame-grilled burgers, aggressive marketing",Affordable & filling meals,Strong competition, Have It Your Way”,Grab a Whopper,Playful,Social Media Ad,https://www.bk.com,https://www.youtube.com/watch?v=XXXXX
Subway,Fast Food & Healthy Options,"Customizable sandwiches, fresh ingredients",Healthier fast-food alternative,Quality varies by location, Eat Fresh”,Build Your Sub,Healthy,TV Ad,https://www.subway.com,https://www.youtube.com/watch?v=XXXXX
Taco Bell,Fast Food,"Mexican-inspired fast food, bold flavors",Creative & budget-friendly menu,Not authentic Mexican cuisine, Live Más”,Try Something New,Exciting,Video Ad,https://www.tacobell.com,https://www.youtube.com/watch?v=XXXXX
Chipotle,Casual Dining,"Fresh ingredients, organic focus",Build-your-own Mexican bowls,Occasional food safety issues, Food with Integrity”,Order a Bowl,Healthy,Social Media Ad,https://www.chipotle.com,https://www.youtube.com/watch?v=XXXXX
Olive Garden,Casual Dining,Family-friendly Italian cuisine,Comforting pasta dishes,Not authentic Italian," When You’re Here, You’re Family”",Dine In Today,Comforting,TV Ad,https://www.olivegarden.com,https://www.youtube.com/watch?v=XXXXX
Five Guys,Fast Casual,Freshly made burgers & fries,High-quality ingredients,Premium pricing, Handcrafted Burgers & Fries”,Try It Today,Classic,Video Ad,https://www.fiveguys.com,https://www.youtube.com/watch?v=XXXXX
Rolex,Luxury Watches,"Exclusive craftsmanship, prestige branding",Timeless luxury & investment value,Extremely high price, A Crown for Every Achievement”,Explore Collections,Luxury,Video Ad,https://www.rolex.com,https://www.youtube.com/watch?v=XXXXX
Omega,Luxury Watches,"Space heritage, precision engineering",High-performance luxury watches,Strong competition from Rolex, Exact Time for Life”,Discover More,Heritage,TV Ad,https://www.omegawatches.com,https://www.youtube.com/watch?v=XXXXX
Tag Heuer,Luxury Sports Watches,"Motorsport legacy, precision timing","Stylish, high-precision watches",High pricing, Don’t Crack Under Pressure”,Shop Now,Bold,Social Media Ad,https://www.tagheuer.com,https://www.youtube.com/watch?v=XXXXX
Patek Philippe,Ultra-Luxury Watches,"Heritage, exquisite craftsmanship",Legacy timepieces with high resale value,Very high entry price, You Never Actually Own a Patek Philippe”,View Collections,Elegant,Video Ad,https://www.patek.com,https://www.youtube.com/watch?v=XXXXX
Cartier,Luxury Watches & Jewelry,"High fashion, exquisite designs",Timeless elegance & brand prestige,Premium pricing, The Art of Timeless”,Explore More,Sophisticated,Display Ad,https://www.cartier.com,https://www.youtube.com/watch?v=XXXXX
Breitling,Aviation & Diving Watches,Precision & durability,High-performance pilot watches,Expensive niche, Instruments for Professionals”,Browse Now,Adventurous,Social Media Ad,https://www.breitling.com,https://www.youtube.com/watch?v=XXXXX
Seiko,Mid-Range & Luxury Watches,"Affordable innovation, Japanese craftsmanship",Reliable & diverse collections,Limited prestige vs. Swiss brands, Innovators by Tradition”,Shop Your Style,Reliable,Video Ad,https://www.seikowatches.com,https://www.youtube.com/watch?v=XXXXX
Casio,Affordable & Smart Watches,"Digital innovation, ruggedness",Versatile & budget-friendly watches,Less luxury appeal, Absolute Toughness”,Get Yours Today,Practical,Social Media Ad,https://www.casio.com,https://www.youtube.com/watch?v=XXXXX
Tissot,Swiss Mid-Range Watches,"Affordable Swiss luxury, sports partnerships",Quality watches at reasonable prices,Less prestigious than Omega or Rolex, Innovators by Tradition”,Find Your Watch,Trustworthy,Video Ad,https://www.tissotwatches.com,https://www.youtube.com/watch?v=XXXXX
Fossil,Fashion & Smartwatches,"Trendy, affordable designs",Stylish watches for casual wear,Limited high-end appeal, Long Live Vintage”,Shop Now,Trendy,Social Media Ad,https://www.fossil.com,https://www.youtube.com/watch?v=XXXXX
Lo'real,Cosmetics & Skincare,"Celebrity endorsements, innovation",Affordable luxury & diversity,Strong competition, Because You're Worth It”,Shop Now,Empowering,TV Ad,https://www.loreal.com,https://www.youtube.com/watch?v=XXXXX
Maybelline,Cosmetics,Trendy & affordable makeup,Mass appeal & accessibility,Not high-end, Maybe She's Born With It”,Find Your Shade,Confident,Social Media Ad,https://www.maybelline.com,https://www.youtube.com/watch?v=XXXXX
MAC Cosmetics,Luxury Makeup,"Professional quality, bold colors",Premium artistry products,Higher pricing," All Ages, All Races, All Genders”",Discover More,Inclusive,Video Ad,https://www.maccosmetics.com,https://www.youtube.com/watch?v=XXXXX
Fenty Beauty,Inclusive Beauty,"Diversity-focused, high-quality formulas",Innovative shade range,Premium pricing, Beauty for All”,Shop Fenty,Inclusive,Social Media Ad,https://www.fentybeauty.com,https://www.youtube.com/watch?v=XXXXX
East Lux,Luxury Skincare & Makeup,"Timeless elegance, premium quality",Prestigious & high-end products,Luxury pricing, Bringing the Best to Everyone”,Explore Now,Sophisticated,Display Ad,https://www.esteelauder.com,https://www.youtube.com/watch?v=XXXXX
Dove,Personal Care,"Body positivity, skin-friendly",Gentle skincare for all,Sustainability concerns, Real Beauty”,Try Now,Empowering,TV Ad,https://www.dove.com,https://www.youtube.com/watch?v=XXXXX
The Ordinary,Skincare,Affordable science-backed skincare,Simple formulations with active ingredients,Limited luxury appeal, Clinical Formulations with Integrity”,Shop Affordable Skincare,Trustworthy,Social Media Ad,https://www.theordinary.com,https://www.youtube.com/watch?v=XXXXX
Charlotte Tilbury,Luxury Beauty,"Glamorous, celebrity-endorsed","High-quality, radiant makeup",Luxury pricing, Give Everyone the Right Makeup and They Can Conquer the World”,Shop the Look,Glamorous,Video Ad,https://www.charlottetilbury.com,https://www.youtube.com/watch?v=XXXXX
Clinique,Dermatologist-Tested Beauty,Fragrance-free skincare,Effective & gentle formulations,Higher pricing, Allergy Tested. 100% Fragrance Free”,Find Your Routine,Reliable,Social Media Ad,https://www.clinique.com,https://www.youtube.com/watch?v=XXXXX
Glossier,Minimalist Beauty,"Digital-first branding, skincare-first",Effortless & natural beauty,Limited retail presence," Skin First, Makeup Second”",Shop Glossier,Fresh,Social Media Ad,https://www.glossier.com,https://www.youtube.com/watch?v=XXXXX
Amazon Kindle,E-Books & Digital Reading,"Convenience, vast library",Instant access to books,"Screen fatigue, digital dependency"," Read Anytime, Anywhere”",Start Reading,Convenient,Social Media Ad,https://www.amazon.com/kindle,https://www.youtube.com/watch?v=XXXXX
Barnes & Noble,Retail & Online Bookstore,"Physical stores, curated selections",In-store experience & events,Competing with online dominance, More Than Books”,Visit a Store,Nostalgic,TV Ad,https://www.barnesandnoble.com,https://www.youtube.com/watch?v=XXXXX
Book Depository,Online Bookstore,Free worldwide shipping,Wide international selection,Delivery time varies, Books Delivered to Your Doorstep”,Browse Now,Global,Display Ad,https://www.bookdepository.com,https://www.youtube.com/watch?v=XXXXX
Scribd,Subscription Reading Service,"Unlimited access, diverse catalog","E-books, audiobooks, and documents",Subscription fatigue, The Library in Your Pocket”,Start Free Trial,Accessible,Social Media Ad,https://www.scribd.com,https://www.youtube.com/watch?v=XXXXX
Audible,Audiobook Service,"Exclusive titles, high-quality narration",Books for on-the-go listening,Monthly fee, Listen Without Limits”,Try Audible Free,Immersive,Video Ad,https://www.audible.com,https://www.youtube.com/watch?v=XXXXX
Penguin Random House,Publishing,"Bestsellers, author prestige",Diverse literary works,Market competition, Books for Every Reader”,Explore Titles,Trustworthy,TV Ad,https://www.penguinrandomhouse.com,https://www.youtube.com/watch?v=XXXXX
HarperCollins,Publishing,"Strong author network, bestsellers",Literary classics & contemporary hits,Publishing industry challenges, Bringing Stories to Life”,Discover More,Inspiring,Social Media Ad,https://www.harpercollins.com,https://www.youtube.com/watch?v=XXXXX
Hachette Book Group,Publishing,"International reach, literary excellence",Award-winning books,Industry pricing challenges, Great Books. Great People.”,Find Your Next Read,Educative,Video Ad,https://www.hachettebookgroup.com,https://www.youtube.com/watch?v=XXXXX
Scholastic,Children’s Books & Education,"School partnerships, educational books",Popular series like Harry Potter,Competition with digital media, Open a World of Possible”,Shop Kids’ Books,Educational,TV Ad,https://www.scholastic.com,https://www.youtube.com/watch?v=XXXXX
ThriftBooks,Used & Affordable Books,"Eco-friendly, budget-friendly",Pre-owned books at low prices,Condition may vary," Read More, Spend Less”",Shop Now,Sustainable,Social Media Ad,https://www.thriftbooks.com,https://www.youtube.com/watch?v=XXXXX
